appendonly,appendfsync,auto-aof-rewrite-percentage,auto-aof-rewrite-min-size,no-appendfsync-on-rewrite,aof-rewrite-incremental-fsync,aof-use-rdb-preamble,save0_0,save0_1,save1_0,save1_1,save2_0,save2_1,rdbcompression,rdbchecksum,rdb-save-incremental-fsync,activedefrag,active-defrag-threshold-lower,active-defrag-threshold-upper,active-defrag-cycle-min,active-defrag-cycle-max,maxmemory,maxmemory-policy,maxmemory-samples,lazyfree-lazy-eviction,lazyfree-lazy-expire,lazyfree-lazy-server-del,hash-max-ziplist-entries,hash-max-ziplist-value,activerehashing,hz,dynamic-hz
,,,,,,,751,5,126,20,72,11032,no,no,yes,yes,28,100,7,81,1900mb,allkeys-lru,7,yes,yes,yes,414,75,yes,8,no
,,,,,,,933,6,255,23,57,11730,no,yes,no,,,,,,1400mb,volatile-lru,5,yes,yes,no,259,231,no,8,no
,,,,,,,837,9,199,84,41,8075,yes,no,yes,yes,28,81,29,82,1200mb,volatile-random,7,no,no,yes,499,248,yes,28,yes
,,,,,,,701,8,372,66,43,10973,yes,no,no,yes,15,82,25,75,2200mb,allkeys-lfu,3,yes,no,yes,508,228,yes,22,no
,,,,,,,733,3,113,96,82,8292,no,no,yes,yes,13,91,17,79,2600mb,volatile-lfu,7,no,yes,yes,411,106,no,32,yes
,,,,,,,755,1,251,69,57,10124,no,yes,no,yes,13,90,19,79,2800mb,volatile-ttl,7,yes,no,no,749,44,no,7,yes
,,,,,,,910,6,297,13,49,11226,no,no,no,,,,,,2700mb,allkeys-lfu,4,no,no,yes,463,249,no,5,yes
,,,,,,,791,6,437,53,47,10815,no,yes,no,,,,,,1300mb,noeviction,3,yes,yes,yes,656,220,no,28,yes
,,,,,,,892,5,139,79,64,10087,yes,no,yes,yes,13,95,12,71,2500mb,volatile-random,5,yes,yes,yes,285,18,yes,18,yes
,,,,,,,938,7,481,87,54,11016,no,yes,yes,,,,,,2500mb,allkeys-lru,3,yes,yes,yes,535,246,yes,28,yes
,,,,,,,762,6,400,15,45,10573,no,no,yes,yes,1,91,12,74,2600mb,noeviction,5,no,no,yes,409,193,yes,18,yes
,,,,,,,745,3,408,98,69,11007,no,yes,yes,,,,,,1000mb,allkeys-random,7,yes,no,yes,325,103,no,40,yes
,,,,,,,832,6,488,32,53,10033,yes,yes,no,,,,,,1700mb,allkeys-random,7,yes,yes,yes,625,185,no,38,yes
,,,,,,,1024,5,208,12,82,9147,no,no,no,,,,,,1400mb,volatile-lru,5,yes,no,no,278,95,yes,28,yes
,,,,,,,705,1,406,17,58,9135,no,yes,no,yes,15,86,14,81,2800mb,volatile-lru,6,no,yes,no,388,204,no,34,no
,,,,,,,1009,8,179,72,63,8783,no,yes,no,,,,,,2200mb,volatile-lfu,3,no,yes,yes,738,52,yes,13,yes
,,,,,,,760,8,161,98,51,11658,no,no,no,yes,19,94,13,70,2900mb,allkeys-random,7,no,no,no,371,186,yes,4,no
,,,,,,,882,6,390,38,56,8367,no,yes,no,,,,,,2200mb,noeviction,6,no,no,no,353,165,yes,29,yes
,,,,,,,960,1,332,68,84,10929,yes,no,yes,,,,,,2800mb,volatile-ttl,6,yes,yes,yes,592,215,no,9,no
,,,,,,,961,1,402,22,69,9342,no,no,no,yes,4,96,2,80,2300mb,volatile-ttl,7,yes,yes,yes,631,245,yes,3,no
,,,,,,,1008,9,443,98,74,10937,yes,no,no,,,,,,1800mb,allkeys-lfu,3,yes,no,no,450,216,yes,23,no
,,,,,,,1099,3,387,12,80,10244,no,yes,yes,,,,,,1400mb,allkeys-random,7,yes,yes,no,618,61,yes,16,no
,,,,,,,1020,8,231,70,79,11495,yes,no,yes,yes,16,85,17,83,1800mb,allkeys-lru,7,no,no,yes,454,79,no,4,yes
,,,,,,,946,6,415,61,41,11551,yes,yes,yes,yes,24,99,10,78,2200mb,volatile-ttl,7,no,no,yes,288,242,no,9,yes
,,,,,,,943,5,467,48,36,8020,no,no,yes,,,,,,1100mb,volatile-random,4,yes,yes,no,636,50,no,17,yes
,,,,,,,850,2,466,36,45,11186,no,yes,yes,,,,,,2300mb,volatile-lfu,6,yes,no,yes,573,119,yes,30,no
,,,,,,,1039,6,127,88,72,9997,no,no,yes,,,,,,2200mb,allkeys-random,6,yes,yes,no,612,84,yes,26,no
,,,,,,,910,1,408,39,67,9082,no,yes,no,,,,,,1800mb,allkeys-lru,5,no,yes,yes,315,205,yes,17,no
,,,,,,,800,5,353,62,68,9912,yes,yes,yes,yes,15,72,11,70,1200mb,allkeys-lru,7,yes,yes,yes,687,222,yes,16,no
,,,,,,,969,2,389,22,89,8635,yes,no,yes,yes,24,73,13,72,1000mb,volatile-lfu,7,yes,no,yes,723,72,yes,31,no
,,,,,,,824,4,128,63,54,9422,yes,yes,yes,yes,25,73,7,73,1600mb,allkeys-lfu,5,yes,no,no,384,214,yes,8,yes
,,,,,,,922,2,356,82,50,11525,no,yes,yes,,,,,,1300mb,volatile-ttl,6,no,no,no,721,20,no,26,no
,,,,,,,749,2,418,25,56,10835,no,no,yes,,,,,,2100mb,noeviction,3,no,no,yes,672,165,yes,15,no
,,,,,,,788,3,150,27,71,8887,no,yes,no,yes,1,92,20,81,1200mb,allkeys-lru,6,yes,no,no,701,80,yes,5,yes
,,,,,,,956,1,453,40,81,11440,yes,yes,yes,,,,,,1200mb,allkeys-lfu,4,yes,yes,yes,663,18,no,35,yes
,,,,,,,1020,5,381,83,32,10886,yes,yes,no,,,,,,2500mb,allkeys-lfu,3,no,no,no,526,34,yes,4,no
,,,,,,,904,9,232,98,47,8025,no,no,yes,,,,,,1100mb,allkeys-random,6,no,no,yes,370,184,yes,39,yes
,,,,,,,931,8,242,74,71,9478,no,no,no,,,,,,1900mb,allkeys-random,6,yes,yes,yes,534,182,no,10,yes
,,,,,,,955,1,407,47,30,9496,yes,yes,yes,,,,,,2100mb,volatile-lfu,3,yes,no,no,703,214,yes,27,no
,,,,,,,752,6,425,35,59,10922,no,yes,yes,,,,,,1200mb,allkeys-lru,4,no,yes,no,559,54,yes,11,no
,,,,,,,1017,1,405,15,77,8760,yes,no,no,,,,,,2300mb,volatile-random,4,no,yes,no,354,135,yes,34,no
,,,,,,,743,9,422,29,68,11262,yes,yes,yes,yes,5,93,9,90,2500mb,allkeys-lfu,6,yes,no,no,327,140,no,5,yes
,,,,,,,963,5,191,79,37,8248,yes,yes,no,yes,8,80,30,88,2500mb,allkeys-lru,6,no,no,yes,556,21,no,33,no
,,,,,,,892,3,489,14,63,11216,no,no,yes,,,,,,1900mb,allkeys-lfu,3,no,yes,yes,415,148,yes,40,yes
,,,,,,,898,1,264,31,71,10222,yes,yes,no,yes,26,92,18,90,1800mb,allkeys-random,6,no,no,yes,693,224,no,9,yes
,,,,,,,767,6,168,86,37,11721,yes,yes,no,yes,8,78,21,84,1800mb,allkeys-random,4,yes,no,no,409,123,yes,16,no
,,,,,,,913,7,482,94,72,9291,no,yes,yes,yes,11,76,17,80,1400mb,volatile-lru,4,no,yes,no,492,99,no,11,yes
,,,,,,,798,2,220,82,75,9174,no,no,no,yes,16,76,22,74,2100mb,noeviction,3,no,yes,no,257,48,no,12,yes
,,,,,,,985,3,303,57,39,9082,no,no,no,,,,,,2200mb,noeviction,6,yes,no,yes,304,197,yes,4,yes
,,,,,,,904,8,101,74,60,11252,yes,no,yes,,,,,,2000mb,volatile-random,7,no,no,yes,517,34,yes,28,yes
,,,,,,,768,5,105,44,65,10709,yes,yes,no,,,,,,1200mb,allkeys-random,6,no,yes,yes,733,115,no,23,no
,,,,,,,885,8,472,26,70,8426,no,yes,yes,yes,22,96,2,72,2300mb,allkeys-lru,7,yes,no,no,259,137,yes,16,no
,,,,,,,704,3,105,54,38,9681,no,yes,no,yes,18,71,11,80,2600mb,volatile-random,5,no,no,no,505,42,yes,11,yes
,,,,,,,1020,4,278,62,76,8730,no,no,no,,,,,,2300mb,volatile-random,6,yes,yes,no,689,62,yes,12,yes
,,,,,,,1038,2,484,27,56,9006,yes,yes,no,yes,7,90,18,88,1300mb,volatile-ttl,4,no,no,yes,349,64,no,18,no
,,,,,,,987,6,172,88,60,10124,yes,yes,no,,,,,,2900mb,volatile-lfu,6,yes,yes,yes,510,169,yes,14,no
,,,,,,,815,2,389,15,88,10524,no,yes,yes,yes,15,98,18,85,1100mb,volatile-random,3,yes,yes,no,608,123,yes,16,yes
,,,,,,,865,4,475,43,62,8976,no,yes,yes,,,,,,2600mb,allkeys-lfu,7,yes,yes,no,542,242,no,11,no
,,,,,,,977,7,191,89,52,11339,no,yes,yes,,,,,,1900mb,volatile-random,3,no,no,yes,402,215,yes,2,yes
,,,,,,,788,6,323,10,61,11145,yes,no,no,,,,,,1000mb,volatile-lru,3,yes,no,yes,527,159,no,32,yes
,,,,,,,795,1,125,27,33,10518,no,no,no,,,,,,2300mb,volatile-ttl,7,yes,no,yes,445,124,yes,16,yes
,,,,,,,739,4,163,62,90,11680,no,no,no,,,,,,2300mb,noeviction,3,yes,no,yes,444,47,no,5,yes
,,,,,,,791,6,185,75,74,11472,no,yes,yes,yes,15,100,25,70,1200mb,volatile-lru,6,yes,yes,yes,286,186,no,37,yes
,,,,,,,1093,5,231,79,60,10997,yes,yes,no,yes,19,90,3,78,1300mb,volatile-ttl,6,no,yes,no,535,20,no,20,no
,,,,,,,910,9,424,34,78,11201,no,yes,yes,yes,21,83,15,74,2600mb,allkeys-lfu,3,yes,no,no,553,202,no,9,no
,,,,,,,724,6,122,97,30,10321,no,no,yes,,,,,,1500mb,allkeys-random,3,yes,no,yes,656,89,yes,28,no
,,,,,,,820,2,296,31,55,8327,no,no,yes,,,,,,1400mb,allkeys-lfu,6,no,no,yes,405,209,yes,29,no
,,,,,,,735,6,333,100,60,11722,yes,yes,yes,yes,15,99,7,87,1000mb,allkeys-random,5,yes,yes,yes,726,109,no,25,no
,,,,,,,1001,5,205,98,48,8919,yes,yes,no,yes,27,73,12,70,1000mb,volatile-lru,6,no,yes,yes,553,204,no,32,yes
,,,,,,,733,7,333,84,40,9132,no,no,yes,yes,20,72,1,84,1400mb,allkeys-lfu,3,yes,no,no,478,163,no,10,yes
,,,,,,,991,2,115,98,33,9303,no,no,no,yes,2,87,5,89,2600mb,noeviction,4,no,yes,no,750,118,yes,37,yes
,,,,,,,702,3,329,80,78,10059,yes,no,yes,yes,23,71,10,79,1300mb,volatile-random,6,yes,no,yes,556,87,yes,25,no
,,,,,,,994,8,453,52,61,10840,no,yes,no,,,,,,2500mb,volatile-ttl,7,no,yes,yes,522,231,yes,22,yes
,,,,,,,755,9,312,87,39,9556,yes,yes,yes,,,,,,1400mb,allkeys-lfu,5,no,yes,yes,426,165,yes,35,no
,,,,,,,1071,5,264,11,88,10701,yes,yes,yes,yes,21,83,11,82,2400mb,volatile-lfu,6,no,no,yes,530,205,yes,4,no
,,,,,,,952,6,128,69,75,11134,no,no,no,yes,1,99,10,84,1000mb,allkeys-random,7,yes,no,yes,346,187,yes,15,yes
,,,,,,,799,2,111,82,52,10455,yes,yes,no,,,,,,1700mb,volatile-lru,4,no,yes,yes,409,175,no,10,yes
,,,,,,,930,4,303,43,60,10091,no,no,no,yes,20,92,24,71,2800mb,volatile-ttl,4,no,no,yes,345,254,no,24,yes
,,,,,,,1043,7,320,47,41,8042,yes,no,yes,,,,,,2500mb,volatile-ttl,3,no,yes,yes,444,201,no,16,no
,,,,,,,742,6,340,11,54,10500,no,no,no,yes,19,73,11,72,1100mb,allkeys-random,7,yes,yes,yes,652,141,yes,20,no
,,,,,,,1009,6,189,91,73,9187,yes,yes,no,yes,16,73,27,70,1700mb,allkeys-random,5,yes,no,yes,338,95,no,33,yes
,,,,,,,834,4,226,96,69,8217,yes,yes,yes,yes,11,85,29,72,2500mb,allkeys-random,6,no,yes,yes,455,113,yes,11,no
,,,,,,,777,7,414,10,78,8216,yes,yes,no,yes,8,94,26,78,2900mb,allkeys-lfu,3,no,no,no,317,145,yes,33,no
,,,,,,,1055,8,342,39,74,8746,yes,no,yes,,,,,,1200mb,allkeys-random,7,yes,no,yes,341,26,no,18,yes
,,,,,,,1067,3,156,77,87,8931,yes,yes,yes,yes,8,80,3,87,1800mb,volatile-lfu,7,yes,yes,no,411,84,yes,13,yes
,,,,,,,703,6,206,34,38,8091,yes,no,no,,,,,,2400mb,allkeys-random,6,no,no,no,441,187,yes,40,no
,,,,,,,802,9,340,18,57,11086,no,yes,yes,,,,,,1600mb,allkeys-lfu,3,yes,no,no,730,232,no,31,no
,,,,,,,1043,6,382,24,58,8615,no,yes,no,,,,,,2200mb,volatile-ttl,3,no,no,no,573,169,no,15,no
,,,,,,,777,9,211,84,76,8492,no,no,no,,,,,,2800mb,allkeys-lfu,4,yes,no,yes,603,169,no,10,yes
,,,,,,,712,9,136,80,59,9117,no,yes,yes,,,,,,2200mb,volatile-ttl,3,yes,yes,yes,560,229,no,18,no
,,,,,,,827,2,297,92,55,9439,yes,yes,no,yes,26,87,10,70,2700mb,volatile-random,5,no,yes,yes,296,18,no,28,no
,,,,,,,1039,9,357,98,46,10660,no,no,yes,,,,,,2000mb,allkeys-lfu,4,yes,no,no,266,85,yes,12,no
,,,,,,,772,3,223,13,77,10682,no,no,no,yes,16,87,27,83,2200mb,noeviction,7,yes,yes,no,625,196,yes,30,no
,,,,,,,878,1,422,37,54,9183,no,no,yes,yes,16,78,26,79,1000mb,noeviction,5,yes,no,yes,339,244,no,21,yes
,,,,,,,885,1,306,64,37,8791,yes,no,no,yes,27,83,3,85,1300mb,volatile-random,4,no,no,yes,420,57,no,13,no
,,,,,,,871,1,234,92,76,8265,yes,yes,no,yes,27,91,19,87,1000mb,volatile-lfu,3,no,yes,no,504,19,yes,10,yes
,,,,,,,934,2,109,46,77,9019,yes,no,no,yes,21,78,9,81,2600mb,allkeys-random,7,yes,yes,yes,680,30,yes,39,no
,,,,,,,808,2,110,63,36,9420,no,no,yes,yes,29,89,5,72,2700mb,allkeys-random,3,yes,no,yes,311,218,no,17,no
,,,,,,,826,9,481,88,34,10789,no,no,no,,,,,,2700mb,allkeys-lru,5,no,no,no,268,87,no,20,yes
,,,,,,,875,1,412,71,70,9578,no,yes,yes,,,,,,1200mb,allkeys-lfu,6,no,no,no,626,152,no,30,no
,,,,,,,953,6,152,94,68,9875,no,no,yes,,,,,,2700mb,volatile-lfu,4,yes,no,yes,733,178,yes,37,yes
,,,,,,,840,6,420,79,40,8508,yes,no,no,,,,,,1300mb,volatile-lru,6,yes,no,no,722,100,yes,7,yes
,,,,,,,1099,8,115,89,80,10485,yes,yes,yes,yes,4,100,12,79,1600mb,allkeys-lfu,4,yes,no,no,507,195,yes,13,yes
,,,,,,,896,8,107,57,77,9815,yes,yes,no,yes,10,79,22,78,2900mb,allkeys-random,6,no,yes,yes,411,93,no,17,yes
,,,,,,,774,9,153,82,89,11968,no,yes,yes,yes,23,82,17,79,1700mb,noeviction,5,yes,yes,yes,655,68,yes,14,yes
,,,,,,,1058,9,318,17,39,10640,no,no,no,yes,3,95,28,72,2600mb,volatile-lru,5,no,yes,yes,487,226,no,4,no
,,,,,,,1003,4,304,48,53,10111,no,yes,yes,yes,6,78,18,72,2300mb,allkeys-lfu,3,yes,no,yes,357,88,yes,3,no
,,,,,,,1010,7,116,93,72,10149,yes,no,yes,yes,7,77,9,88,1700mb,volatile-ttl,7,no,yes,no,351,124,yes,8,no
,,,,,,,847,7,430,64,67,8771,yes,yes,no,yes,29,94,28,71,2900mb,allkeys-lfu,7,yes,no,yes,497,41,no,12,no
,,,,,,,814,3,497,25,89,9469,yes,no,yes,,,,,,2900mb,volatile-ttl,5,no,no,no,490,55,no,9,yes
,,,,,,,907,2,172,43,81,11894,yes,yes,yes,,,,,,2700mb,allkeys-lru,6,no,no,no,287,124,no,30,yes
,,,,,,,894,8,143,30,77,11990,no,no,no,,,,,,2100mb,noeviction,3,no,no,no,612,190,yes,37,yes
,,,,,,,747,2,372,44,52,10032,yes,no,yes,yes,21,98,5,85,2200mb,volatile-ttl,6,no,yes,no,448,37,yes,39,no
,,,,,,,1025,8,257,90,43,11523,yes,yes,yes,yes,30,88,26,72,1400mb,allkeys-random,5,yes,no,no,547,58,no,25,no
,,,,,,,715,7,140,14,60,10072,no,yes,yes,yes,10,74,17,71,1200mb,volatile-lru,3,no,no,yes,414,213,no,40,yes
,,,,,,,1021,1,439,28,84,10282,yes,no,yes,yes,23,73,2,77,2400mb,volatile-lru,4,yes,yes,yes,656,66,no,7,yes
,,,,,,,1096,4,297,77,45,8188,no,yes,yes,yes,4,88,18,86,1000mb,allkeys-random,3,yes,no,yes,531,181,no,18,yes
,,,,,,,779,7,225,17,70,9240,yes,no,no,yes,9,82,6,79,2500mb,allkeys-random,3,yes,yes,yes,738,196,no,23,yes
,,,,,,,1084,3,295,94,51,10265,yes,yes,no,,,,,,2600mb,allkeys-random,4,yes,no,no,535,133,no,12,yes
,,,,,,,936,1,459,10,81,8477,yes,yes,no,yes,27,93,24,89,1900mb,volatile-lfu,6,no,no,no,661,220,no,32,yes
,,,,,,,814,3,170,12,81,8678,no,no,yes,,,,,,1200mb,volatile-ttl,6,yes,yes,yes,611,168,yes,18,yes
,,,,,,,917,2,269,73,39,10299,yes,yes,yes,yes,5,71,30,87,1600mb,allkeys-random,7,yes,yes,no,455,27,no,39,no
,,,,,,,1031,5,391,36,71,9488,yes,yes,no,yes,26,74,19,80,1900mb,allkeys-random,6,yes,yes,no,683,224,yes,11,no
,,,,,,,906,1,342,12,90,11571,yes,no,no,yes,5,98,26,90,1400mb,volatile-random,4,no,no,no,440,31,yes,39,no
,,,,,,,1084,3,198,68,50,8694,no,no,no,yes,17,70,5,85,2500mb,volatile-random,4,yes,no,yes,530,42,no,34,no
,,,,,,,1095,7,418,32,67,8626,no,yes,no,,,,,,2400mb,noeviction,3,yes,yes,no,273,256,no,2,yes
,,,,,,,1002,4,245,34,86,9310,yes,yes,yes,,,,,,1000mb,volatile-lfu,3,yes,no,yes,616,218,no,36,no
,,,,,,,847,9,443,35,79,11533,yes,yes,no,yes,24,82,16,86,1700mb,volatile-lfu,6,yes,no,no,697,178,yes,28,no
,,,,,,,793,7,367,96,32,11840,no,yes,yes,yes,28,92,14,85,1700mb,allkeys-lfu,7,yes,yes,yes,357,119,yes,25,yes
,,,,,,,987,6,129,79,46,11772,yes,yes,yes,yes,14,94,5,84,1500mb,allkeys-lfu,6,no,no,yes,666,68,no,20,no
,,,,,,,1063,4,273,65,48,9400,no,no,no,,,,,,1200mb,volatile-random,5,yes,no,yes,738,87,no,24,yes
,,,,,,,1002,2,408,29,34,11694,no,no,yes,,,,,,2500mb,volatile-ttl,5,yes,no,yes,566,186,yes,4,no
,,,,,,,994,4,401,83,49,9550,yes,yes,yes,,,,,,1400mb,allkeys-lru,5,no,yes,yes,504,230,no,17,no
,,,,,,,972,7,284,80,45,10046,yes,yes,yes,yes,2,89,6,83,2900mb,volatile-lru,5,no,yes,no,459,243,yes,6,yes
,,,,,,,749,8,211,44,56,9985,no,no,no,,,,,,2100mb,volatile-ttl,6,yes,yes,yes,371,213,no,8,yes
,,,,,,,1075,7,179,100,52,9470,yes,yes,no,yes,20,78,3,82,2100mb,volatile-lfu,4,yes,no,no,422,236,yes,5,yes
,,,,,,,1039,1,263,16,35,9457,no,no,yes,yes,8,77,23,71,2800mb,volatile-lfu,6,yes,no,yes,413,104,yes,23,yes
,,,,,,,1096,6,233,27,40,10353,yes,no,no,yes,16,76,14,71,1800mb,noeviction,7,no,no,yes,558,67,no,29,yes
,,,,,,,843,1,468,15,77,8101,no,yes,yes,,,,,,2800mb,noeviction,4,yes,yes,yes,745,212,yes,36,no
,,,,,,,847,4,300,45,48,9193,yes,no,no,,,,,,1200mb,noeviction,5,no,no,yes,538,94,yes,9,no
,,,,,,,988,4,245,28,79,9529,yes,yes,yes,,,,,,1900mb,volatile-ttl,3,yes,no,yes,266,173,yes,10,no
,,,,,,,704,6,270,65,51,11959,no,yes,no,yes,4,73,29,70,2900mb,noeviction,5,no,yes,yes,750,136,yes,31,yes
,,,,,,,967,7,134,92,79,8004,yes,no,no,,,,,,2500mb,volatile-lru,5,no,yes,no,417,50,yes,30,yes
,,,,,,,814,1,182,37,77,11221,no,yes,yes,,,,,,1000mb,volatile-lru,3,yes,no,no,688,47,no,17,yes
,,,,,,,776,7,247,67,87,9616,no,yes,yes,,,,,,1100mb,allkeys-lru,3,yes,yes,yes,719,30,no,26,yes
,,,,,,,988,2,497,36,81,11565,yes,yes,yes,,,,,,2100mb,volatile-ttl,5,no,no,yes,395,78,no,34,yes
,,,,,,,962,9,448,63,90,9681,yes,yes,no,yes,7,71,13,86,2100mb,allkeys-lru,7,no,no,no,637,59,yes,26,yes
,,,,,,,781,6,407,94,86,10833,yes,no,yes,,,,,,1900mb,allkeys-lru,4,no,yes,yes,716,34,yes,27,yes
,,,,,,,1075,8,419,84,49,11685,no,yes,no,yes,7,72,10,80,1200mb,volatile-ttl,4,yes,yes,yes,701,57,no,27,no
,,,,,,,918,9,115,28,73,8883,no,yes,yes,,,,,,1400mb,volatile-lfu,6,no,yes,yes,657,30,no,37,yes
,,,,,,,827,5,284,58,86,11954,yes,no,yes,yes,25,73,27,71,2400mb,volatile-random,6,yes,yes,yes,319,153,yes,11,yes
,,,,,,,744,7,164,90,65,8283,yes,yes,no,,,,,,2600mb,volatile-lru,5,yes,no,yes,387,31,no,22,yes
,,,,,,,956,8,133,75,81,11351,no,yes,yes,,,,,,2400mb,allkeys-lfu,5,no,yes,yes,402,16,no,7,yes
,,,,,,,985,4,212,61,36,11155,no,yes,no,,,,,,2700mb,volatile-lfu,4,yes,yes,yes,745,239,no,7,no
,,,,,,,899,9,304,73,38,10393,yes,no,no,yes,21,92,13,87,2900mb,allkeys-random,5,no,yes,yes,325,201,yes,25,yes
,,,,,,,950,1,368,34,89,10437,no,no,yes,yes,22,95,13,76,1500mb,allkeys-lru,7,no,no,yes,477,201,no,3,no
,,,,,,,920,2,124,20,83,10122,no,yes,yes,,,,,,2800mb,allkeys-lfu,7,yes,yes,no,655,28,yes,2,yes
,,,,,,,908,9,344,14,42,11845,yes,no,yes,,,,,,1700mb,allkeys-lfu,7,no,yes,no,555,87,no,15,no
,,,,,,,1095,4,117,52,62,9704,yes,yes,yes,yes,15,88,23,77,2900mb,allkeys-lru,3,no,no,yes,541,49,yes,34,no
,,,,,,,911,7,172,24,83,8894,yes,no,yes,,,,,,2600mb,allkeys-random,4,yes,yes,yes,304,146,no,19,yes
,,,,,,,909,2,500,15,81,11966,yes,no,no,yes,14,78,21,82,1200mb,noeviction,6,yes,no,no,347,59,no,9,no
,,,,,,,878,5,131,64,76,9600,no,no,yes,yes,2,78,11,89,2300mb,volatile-ttl,4,no,yes,no,510,115,yes,1,no
,,,,,,,1011,7,434,93,89,8894,no,yes,no,yes,30,89,15,81,2400mb,allkeys-random,5,no,no,no,385,221,no,22,no
,,,,,,,808,7,350,34,39,9386,no,no,yes,,,,,,1400mb,volatile-lru,6,no,no,yes,285,174,no,20,no
,,,,,,,740,3,134,15,53,8049,no,yes,yes,yes,8,86,3,86,1100mb,noeviction,3,no,no,no,725,77,yes,37,yes
,,,,,,,1079,7,232,83,32,10309,no,yes,yes,,,,,,1300mb,allkeys-lru,3,no,yes,no,573,241,yes,12,no
,,,,,,,1086,8,457,96,87,9860,no,yes,no,,,,,,2000mb,volatile-lfu,7,no,yes,no,351,104,yes,25,no
,,,,,,,982,7,153,16,35,10853,yes,yes,no,,,,,,1600mb,volatile-random,5,yes,no,yes,688,220,no,35,yes
