appendonly,appendfsync,auto-aof-rewrite-percentage,auto-aof-rewrite-min-size,no-appendfsync-on-rewrite,aof-rewrite-incremental-fsync,aof-use-rdb-preamble,save0_0,save0_1,save1_0,save1_1,save2_0,save2_1,rdbcompression,rdbchecksum,rdb-save-incremental-fsync,activedefrag,active-defrag-threshold-lower,active-defrag-threshold-upper,active-defrag-cycle-min,active-defrag-cycle-max,maxmemory,maxmemory-policy,maxmemory-samples,lazyfree-lazy-eviction,lazyfree-lazy-expire,lazyfree-lazy-server-del,hash-max-ziplist-entries,hash-max-ziplist-value,activerehashing,hz,dynamic-hz
yes,everysec,158,156mb,yes,yes,yes,,,,,,,,,,yes,19,76,7,74,1200mb,volatile-lru,5,yes,yes,no,511,101,yes,27,yes
yes,no,130,78mb,no,no,no,,,,,,,,,,,,,,,2700mb,volatile-lfu,5,yes,no,yes,623,71,no,13,no
yes,always,145,203mb,yes,no,yes,,,,,,,,,,,,,,,2000mb,volatile-lru,5,yes,yes,yes,750,75,yes,7,yes
yes,no,113,233mb,no,no,yes,,,,,,,,,,,,,,,2800mb,allkeys-random,4,no,yes,no,404,227,yes,19,no
yes,everysec,52,138mb,no,yes,no,,,,,,,,,,,,,,,1300mb,volatile-lru,4,yes,yes,no,684,147,yes,3,no
yes,everysec,118,169mb,yes,yes,no,,,,,,,,,,yes,30,98,29,90,2500mb,volatile-random,3,yes,no,no,633,52,no,37,no
yes,always,55,62mb,yes,no,no,,,,,,,,,,yes,19,83,11,88,2800mb,allkeys-lfu,6,yes,yes,no,731,169,yes,13,no
yes,always,79,139mb,yes,yes,no,,,,,,,,,,,,,,,1000mb,volatile-lfu,7,yes,yes,no,275,124,no,39,no
yes,no,69,208mb,no,yes,no,,,,,,,,,,,,,,,2200mb,noeviction,3,no,yes,yes,405,157,no,32,no
yes,always,163,108mb,yes,yes,no,,,,,,,,,,,,,,,2800mb,noeviction,5,yes,yes,yes,601,155,no,34,no
yes,no,119,242mb,no,yes,yes,,,,,,,,,,yes,7,86,2,76,1200mb,allkeys-lfu,6,yes,yes,yes,714,151,no,36,no
yes,everysec,147,73mb,no,yes,no,,,,,,,,,,yes,20,100,2,76,2600mb,allkeys-random,4,yes,no,no,566,74,yes,39,yes
yes,always,95,197mb,yes,yes,yes,,,,,,,,,,,,,,,1400mb,allkeys-lfu,4,no,no,yes,719,55,no,6,yes
yes,always,53,224mb,no,yes,yes,,,,,,,,,,,,,,,1600mb,noeviction,6,no,no,no,521,109,no,25,no
yes,everysec,112,59mb,no,no,no,,,,,,,,,,yes,18,96,30,83,1300mb,allkeys-lru,7,no,yes,no,473,38,yes,14,no
yes,no,156,234mb,yes,no,no,,,,,,,,,,,,,,,2300mb,allkeys-random,4,no,yes,no,745,23,no,6,no
yes,everysec,154,149mb,yes,yes,no,,,,,,,,,,,,,,,1300mb,volatile-lru,5,yes,yes,no,722,22,yes,25,no
yes,everysec,56,214mb,no,yes,no,,,,,,,,,,,,,,,2800mb,noeviction,5,yes,yes,no,374,201,no,8,yes
yes,always,101,137mb,no,yes,no,,,,,,,,,,yes,8,83,27,80,2400mb,allkeys-lfu,6,yes,no,no,380,160,yes,3,no
yes,no,158,255mb,yes,yes,yes,,,,,,,,,,,,,,,2100mb,volatile-lru,6,no,no,no,354,222,yes,4,no
yes,always,185,103mb,no,yes,yes,,,,,,,,,,,,,,,2500mb,allkeys-lfu,4,yes,no,yes,301,52,no,1,no
yes,always,164,77mb,no,no,no,,,,,,,,,,yes,14,94,20,80,1300mb,volatile-lfu,6,no,no,yes,670,249,yes,31,yes
yes,always,90,132mb,yes,no,yes,,,,,,,,,,,,,,,1400mb,allkeys-random,6,yes,no,no,534,105,no,31,no
yes,everysec,57,250mb,yes,yes,yes,,,,,,,,,,,,,,,2500mb,allkeys-random,4,no,yes,yes,539,187,yes,23,no
yes,everysec,172,109mb,yes,no,yes,,,,,,,,,,yes,7,81,18,79,2000mb,allkeys-random,6,yes,yes,yes,645,55,no,20,no
yes,no,75,119mb,yes,no,no,,,,,,,,,,yes,4,70,16,79,1500mb,volatile-random,4,no,yes,no,340,131,yes,28,yes
yes,no,136,108mb,no,no,no,,,,,,,,,,,,,,,1600mb,volatile-lfu,6,no,yes,no,357,69,yes,26,no
yes,everysec,89,227mb,no,yes,yes,,,,,,,,,,,,,,,2200mb,noeviction,5,yes,no,yes,591,68,no,17,no
yes,everysec,184,135mb,yes,no,yes,,,,,,,,,,,,,,,2900mb,noeviction,5,no,no,yes,672,174,no,10,yes
yes,everysec,88,107mb,yes,yes,no,,,,,,,,,,,,,,,1200mb,volatile-ttl,4,no,no,no,750,74,no,6,yes
yes,no,171,23mb,yes,yes,yes,,,,,,,,,,yes,19,87,28,80,1100mb,volatile-lfu,3,no,no,no,635,219,yes,21,yes
yes,always,165,39mb,yes,yes,yes,,,,,,,,,,yes,10,80,30,70,2400mb,allkeys-lru,6,yes,no,yes,639,107,no,11,yes
yes,always,137,159mb,no,no,yes,,,,,,,,,,,,,,,1300mb,volatile-lfu,5,yes,yes,no,274,40,no,37,yes
yes,always,52,171mb,no,no,no,,,,,,,,,,yes,13,86,12,87,1000mb,allkeys-lru,5,yes,yes,yes,560,254,yes,33,yes
yes,no,195,59mb,yes,yes,yes,,,,,,,,,,yes,27,77,30,88,1700mb,allkeys-random,4,no,yes,no,645,166,no,16,no
yes,always,85,251mb,yes,yes,no,,,,,,,,,,yes,15,94,24,78,2100mb,volatile-random,5,no,yes,no,323,239,no,16,yes
yes,always,198,160mb,yes,no,yes,,,,,,,,,,,,,,,2000mb,volatile-lru,7,no,yes,yes,301,189,no,38,no
yes,no,51,164mb,yes,no,yes,,,,,,,,,,,,,,,2300mb,volatile-lfu,6,no,yes,yes,278,74,no,16,no
yes,no,175,206mb,no,no,yes,,,,,,,,,,yes,10,71,20,75,1700mb,allkeys-lfu,6,no,yes,no,582,234,yes,4,yes
yes,no,60,115mb,no,yes,yes,,,,,,,,,,yes,21,83,27,73,2300mb,allkeys-lru,6,yes,yes,yes,279,29,no,31,no
yes,everysec,82,227mb,no,yes,yes,,,,,,,,,,,,,,,1800mb,volatile-lru,7,yes,yes,yes,413,174,no,28,no
yes,everysec,182,123mb,yes,no,yes,,,,,,,,,,yes,17,79,6,87,2300mb,volatile-lfu,3,yes,yes,yes,660,52,yes,24,no
yes,no,144,80mb,no,yes,no,,,,,,,,,,yes,24,94,11,74,1200mb,noeviction,5,no,no,yes,322,120,yes,37,no
yes,everysec,178,203mb,no,yes,yes,,,,,,,,,,,,,,,1400mb,volatile-lfu,3,no,no,yes,572,90,no,17,no
yes,always,131,134mb,yes,yes,no,,,,,,,,,,yes,23,96,14,89,1300mb,allkeys-random,4,no,no,yes,631,155,no,33,no
yes,everysec,193,26mb,no,yes,no,,,,,,,,,,yes,16,83,3,74,2300mb,volatile-lru,4,yes,yes,no,302,124,yes,15,yes
yes,always,156,217mb,yes,yes,yes,,,,,,,,,,yes,4,91,27,87,2800mb,noeviction,5,yes,yes,yes,605,219,no,4,no
yes,always,137,121mb,yes,yes,yes,,,,,,,,,,yes,11,88,9,79,1300mb,volatile-lfu,4,no,yes,yes,478,149,no,14,yes
yes,no,110,176mb,yes,yes,no,,,,,,,,,,yes,7,89,3,89,2200mb,volatile-random,4,no,yes,yes,472,22,yes,7,yes
yes,no,61,159mb,yes,yes,yes,,,,,,,,,,,,,,,2800mb,volatile-random,6,yes,no,no,502,92,no,25,yes
yes,everysec,153,235mb,no,yes,no,,,,,,,,,,,,,,,2900mb,allkeys-lfu,3,no,yes,yes,406,82,no,14,yes
yes,no,146,34mb,yes,no,yes,,,,,,,,,,yes,15,71,13,84,2700mb,volatile-lfu,4,yes,yes,yes,306,33,yes,29,no
yes,everysec,165,110mb,no,no,yes,,,,,,,,,,,,,,,2800mb,volatile-lru,3,yes,yes,yes,573,184,yes,10,no
yes,always,140,59mb,yes,yes,no,,,,,,,,,,yes,11,76,11,70,2000mb,volatile-lfu,6,yes,yes,no,377,24,no,6,yes
yes,everysec,76,156mb,yes,no,yes,,,,,,,,,,,,,,,2900mb,volatile-lfu,6,no,yes,yes,606,137,yes,30,no
yes,no,73,225mb,yes,no,no,,,,,,,,,,yes,5,76,20,76,1100mb,noeviction,7,yes,no,no,561,209,yes,40,no
yes,always,114,98mb,yes,yes,no,,,,,,,,,,,,,,,1100mb,allkeys-lfu,6,yes,yes,no,384,230,no,33,yes
yes,everysec,167,142mb,no,no,yes,,,,,,,,,,,,,,,2500mb,noeviction,7,no,no,yes,624,210,no,9,yes
yes,everysec,114,90mb,yes,yes,no,,,,,,,,,,yes,15,100,6,77,2500mb,allkeys-lfu,4,no,no,no,739,105,yes,22,yes
yes,everysec,83,61mb,yes,yes,no,,,,,,,,,,yes,3,73,16,70,1200mb,volatile-lfu,7,no,yes,yes,559,233,yes,36,no
yes,always,110,153mb,yes,yes,no,,,,,,,,,,,,,,,2000mb,allkeys-lru,7,yes,yes,yes,358,214,no,29,yes
yes,no,78,255mb,no,yes,yes,,,,,,,,,,,,,,,1000mb,volatile-lfu,5,yes,yes,no,677,151,no,7,no
yes,no,152,102mb,no,no,no,,,,,,,,,,yes,4,81,20,80,2900mb,volatile-random,3,yes,no,yes,678,140,no,3,no
yes,everysec,142,224mb,yes,yes,no,,,,,,,,,,yes,9,87,10,85,1400mb,allkeys-lfu,3,no,yes,no,607,253,no,19,yes
yes,no,150,172mb,yes,yes,no,,,,,,,,,,yes,26,98,7,90,1500mb,allkeys-lru,7,no,yes,no,431,19,no,7,no
yes,everysec,101,42mb,no,no,yes,,,,,,,,,,,,,,,1300mb,volatile-lru,6,no,no,yes,456,159,yes,2,no
yes,always,138,145mb,no,no,no,,,,,,,,,,,,,,,1400mb,volatile-random,5,yes,no,yes,399,193,yes,18,yes
yes,always,125,130mb,no,no,yes,,,,,,,,,,,,,,,2100mb,volatile-ttl,5,yes,yes,yes,450,152,yes,16,no
yes,everysec,60,33mb,yes,no,yes,,,,,,,,,,,,,,,1100mb,allkeys-random,7,yes,yes,no,359,161,no,34,yes
yes,everysec,168,42mb,no,yes,yes,,,,,,,,,,,,,,,1200mb,allkeys-lfu,4,no,yes,yes,554,129,no,3,no
yes,no,195,84mb,no,yes,yes,,,,,,,,,,,,,,,2100mb,noeviction,4,yes,yes,yes,330,86,yes,28,yes
yes,everysec,170,178mb,yes,yes,no,,,,,,,,,,yes,26,95,2,84,1000mb,volatile-ttl,4,no,yes,yes,533,75,no,9,no
yes,everysec,123,109mb,no,no,no,,,,,,,,,,,,,,,2700mb,volatile-lfu,3,yes,yes,yes,332,94,no,10,no
yes,everysec,74,132mb,no,no,yes,,,,,,,,,,yes,12,89,2,89,2200mb,allkeys-lfu,3,no,no,yes,309,187,yes,7,yes
yes,no,57,130mb,no,yes,yes,,,,,,,,,,,,,,,1600mb,volatile-ttl,5,yes,yes,yes,644,249,yes,28,yes
yes,everysec,62,226mb,yes,no,yes,,,,,,,,,,yes,3,90,23,90,1200mb,allkeys-lru,3,yes,yes,no,388,225,yes,13,yes
yes,no,57,195mb,yes,no,yes,,,,,,,,,,,,,,,1000mb,noeviction,7,yes,no,yes,741,184,yes,29,no
yes,always,161,88mb,no,yes,yes,,,,,,,,,,,,,,,1500mb,volatile-random,7,yes,yes,yes,414,64,yes,27,yes
yes,everysec,114,101mb,no,no,yes,,,,,,,,,,yes,13,77,12,73,1500mb,volatile-ttl,7,no,yes,yes,337,212,yes,34,yes
yes,always,172,26mb,yes,yes,no,,,,,,,,,,,,,,,2100mb,volatile-lru,6,no,no,no,661,23,no,37,no
yes,always,185,251mb,no,no,yes,,,,,,,,,,yes,3,73,18,76,2500mb,noeviction,4,yes,no,yes,741,34,yes,18,yes
yes,no,186,137mb,yes,yes,no,,,,,,,,,,,,,,,2300mb,volatile-random,7,yes,yes,yes,509,256,no,37,no
yes,always,112,106mb,yes,yes,no,,,,,,,,,,,,,,,1500mb,allkeys-lfu,5,no,no,yes,362,213,no,36,no
yes,everysec,94,35mb,yes,yes,yes,,,,,,,,,,,,,,,2900mb,allkeys-lru,7,no,yes,yes,636,73,no,33,no
yes,no,89,43mb,no,yes,yes,,,,,,,,,,,,,,,1200mb,volatile-lru,5,yes,yes,yes,570,246,no,7,yes
yes,everysec,148,239mb,yes,no,no,,,,,,,,,,yes,2,95,26,89,2100mb,volatile-lfu,5,yes,yes,no,731,125,yes,14,no
yes,everysec,186,107mb,yes,no,yes,,,,,,,,,,yes,21,94,10,76,1900mb,allkeys-lfu,5,no,no,yes,673,78,yes,35,no
yes,everysec,62,28mb,yes,yes,no,,,,,,,,,,yes,9,100,2,89,2000mb,allkeys-random,7,no,yes,yes,421,16,no,4,no
yes,always,141,205mb,no,no,no,,,,,,,,,,,,,,,1400mb,allkeys-lfu,4,yes,no,no,615,158,yes,27,no
yes,everysec,51,256mb,yes,yes,yes,,,,,,,,,,yes,27,86,12,70,1700mb,volatile-ttl,7,no,no,no,494,151,no,23,yes
yes,everysec,102,72mb,yes,yes,no,,,,,,,,,,,,,,,1800mb,noeviction,3,no,no,no,620,114,yes,10,yes
yes,no,123,134mb,yes,no,no,,,,,,,,,,yes,28,85,24,82,1200mb,allkeys-lfu,4,yes,yes,no,573,139,yes,11,no
yes,everysec,106,227mb,yes,no,no,,,,,,,,,,yes,11,70,2,83,1900mb,volatile-random,3,no,yes,yes,395,132,no,12,no
yes,always,101,222mb,no,no,yes,,,,,,,,,,,,,,,2300mb,volatile-random,3,no,no,yes,376,55,yes,39,yes
yes,everysec,83,96mb,no,yes,no,,,,,,,,,,,,,,,2900mb,noeviction,7,yes,yes,no,473,227,yes,2,no
yes,always,98,195mb,no,yes,yes,,,,,,,,,,,,,,,2600mb,volatile-lfu,4,yes,yes,yes,358,67,yes,35,no
yes,no,118,90mb,yes,no,no,,,,,,,,,,,,,,,1600mb,allkeys-lru,4,no,yes,no,329,194,yes,5,yes
yes,no,118,127mb,no,yes,no,,,,,,,,,,,,,,,2800mb,allkeys-lru,6,yes,yes,no,685,77,no,40,yes
yes,always,187,151mb,no,no,yes,,,,,,,,,,,,,,,1900mb,allkeys-random,7,yes,no,no,418,37,yes,20,no
yes,everysec,186,33mb,no,no,yes,,,,,,,,,,yes,10,92,7,80,1600mb,volatile-lfu,7,yes,no,yes,370,129,yes,18,yes
yes,always,104,197mb,no,yes,yes,,,,,,,,,,,,,,,2500mb,allkeys-lru,4,yes,no,no,644,233,yes,9,no
yes,no,98,70mb,yes,no,yes,,,,,,,,,,,,,,,1600mb,volatile-random,4,yes,no,no,452,81,no,20,yes
yes,everysec,187,184mb,no,no,yes,,,,,,,,,,,,,,,1000mb,volatile-lfu,6,yes,no,yes,556,190,no,34,yes
yes,always,112,17mb,yes,no,no,,,,,,,,,,,,,,,2800mb,allkeys-lru,7,no,yes,no,634,177,yes,16,no
yes,no,136,79mb,yes,yes,yes,,,,,,,,,,yes,22,98,30,78,1400mb,volatile-random,7,no,yes,yes,579,49,no,26,yes
yes,no,148,153mb,yes,yes,no,,,,,,,,,,,,,,,1200mb,allkeys-lfu,5,yes,yes,yes,499,42,yes,32,no
yes,always,141,149mb,no,yes,no,,,,,,,,,,,,,,,2600mb,volatile-lru,3,no,yes,no,555,208,yes,12,no
yes,always,78,104mb,yes,yes,yes,,,,,,,,,,,,,,,1400mb,allkeys-lfu,3,yes,yes,yes,318,151,yes,20,no
yes,everysec,89,68mb,yes,yes,no,,,,,,,,,,,,,,,2900mb,volatile-random,6,yes,yes,yes,556,132,yes,17,no
yes,no,85,165mb,yes,yes,no,,,,,,,,,,yes,10,84,3,88,2500mb,volatile-lru,5,yes,yes,yes,629,56,yes,23,yes
yes,no,133,74mb,yes,yes,no,,,,,,,,,,,,,,,2600mb,volatile-lfu,3,no,no,yes,576,118,no,35,yes
yes,no,182,203mb,yes,no,yes,,,,,,,,,,,,,,,2500mb,allkeys-lru,3,no,no,yes,536,108,yes,7,no
yes,always,177,70mb,yes,yes,yes,,,,,,,,,,,,,,,1500mb,allkeys-lfu,3,yes,yes,no,310,60,yes,19,yes
yes,no,75,224mb,no,no,yes,,,,,,,,,,yes,3,73,1,76,1000mb,volatile-lru,5,no,no,no,639,58,no,34,yes
yes,always,149,158mb,no,yes,yes,,,,,,,,,,yes,11,96,5,77,1900mb,volatile-lru,3,no,yes,no,644,24,no,5,yes
yes,no,90,26mb,no,yes,no,,,,,,,,,,,,,,,2500mb,volatile-ttl,6,no,no,yes,363,127,yes,32,no
yes,no,73,149mb,no,yes,yes,,,,,,,,,,,,,,,1600mb,allkeys-lru,7,yes,no,no,602,193,no,10,yes
yes,no,90,40mb,no,yes,no,,,,,,,,,,,,,,,2200mb,noeviction,3,yes,yes,yes,565,206,yes,20,no
yes,everysec,166,30mb,yes,no,no,,,,,,,,,,yes,6,70,6,86,2900mb,volatile-lru,7,yes,yes,no,412,99,no,38,no
yes,no,90,29mb,yes,yes,yes,,,,,,,,,,,,,,,2800mb,noeviction,6,no,no,no,676,243,no,36,no
yes,no,93,217mb,yes,no,yes,,,,,,,,,,,,,,,1200mb,volatile-random,6,yes,yes,no,703,188,yes,14,yes
yes,no,134,231mb,no,no,yes,,,,,,,,,,,,,,,1200mb,volatile-random,3,no,yes,yes,293,221,yes,22,yes
yes,always,78,165mb,yes,yes,yes,,,,,,,,,,yes,7,73,21,72,2400mb,allkeys-lfu,3,no,yes,no,697,45,yes,8,no
yes,everysec,141,31mb,yes,yes,yes,,,,,,,,,,,,,,,1100mb,volatile-random,6,yes,yes,yes,453,183,yes,21,yes
yes,always,102,201mb,no,no,yes,,,,,,,,,,,,,,,1700mb,volatile-lfu,5,yes,yes,no,277,142,no,17,yes
yes,everysec,57,202mb,yes,yes,no,,,,,,,,,,yes,22,85,18,87,2800mb,volatile-lru,7,yes,no,yes,687,208,no,37,no
yes,everysec,126,158mb,yes,yes,yes,,,,,,,,,,yes,24,93,15,84,1800mb,volatile-lfu,6,no,yes,yes,392,140,no,32,yes
yes,everysec,174,202mb,yes,no,yes,,,,,,,,,,yes,18,72,19,74,1900mb,allkeys-random,4,no,no,no,488,82,yes,17,no
yes,everysec,139,154mb,yes,yes,no,,,,,,,,,,,,,,,2000mb,noeviction,4,no,yes,no,376,167,no,1,yes
yes,no,101,149mb,no,yes,yes,,,,,,,,,,,,,,,1900mb,noeviction,5,no,yes,yes,363,117,no,20,yes
yes,everysec,118,237mb,no,yes,no,,,,,,,,,,,,,,,1800mb,volatile-lru,6,yes,no,yes,643,239,no,36,no
yes,no,68,60mb,yes,yes,yes,,,,,,,,,,,,,,,1700mb,volatile-lfu,6,yes,yes,yes,429,249,no,35,yes
yes,everysec,188,46mb,yes,yes,yes,,,,,,,,,,,,,,,1400mb,allkeys-lfu,5,no,yes,no,715,204,yes,22,yes
yes,always,58,20mb,no,no,no,,,,,,,,,,yes,9,93,19,74,2100mb,noeviction,6,no,no,yes,391,41,no,13,yes
yes,no,135,72mb,yes,yes,yes,,,,,,,,,,yes,20,91,22,70,2700mb,volatile-lfu,3,yes,no,yes,707,78,no,30,yes
yes,no,163,232mb,no,yes,no,,,,,,,,,,yes,2,94,5,87,1700mb,allkeys-lfu,3,yes,no,no,291,78,yes,31,yes
yes,everysec,106,206mb,yes,no,yes,,,,,,,,,,yes,19,79,3,90,2600mb,allkeys-random,6,no,no,yes,315,248,yes,14,yes
yes,always,116,45mb,no,no,no,,,,,,,,,,yes,30,79,25,75,2700mb,volatile-lru,4,no,no,no,665,164,no,21,yes
yes,no,96,220mb,no,no,no,,,,,,,,,,,,,,,1600mb,volatile-lru,3,no,yes,yes,297,60,no,11,no
yes,everysec,196,26mb,yes,yes,yes,,,,,,,,,,,,,,,2800mb,noeviction,3,yes,yes,no,645,254,no,2,yes
yes,everysec,106,116mb,yes,no,no,,,,,,,,,,yes,29,71,21,88,1700mb,allkeys-lfu,7,no,no,no,362,249,yes,35,yes
yes,everysec,75,189mb,no,no,no,,,,,,,,,,yes,4,86,9,70,1500mb,noeviction,4,no,no,no,364,40,yes,15,no
yes,always,69,210mb,no,no,no,,,,,,,,,,yes,19,72,13,78,2900mb,allkeys-lfu,4,no,no,yes,493,149,no,28,no
yes,always,62,183mb,no,no,yes,,,,,,,,,,yes,16,77,13,79,2900mb,volatile-random,5,no,yes,yes,667,154,no,24,no
yes,everysec,196,37mb,yes,no,yes,,,,,,,,,,yes,24,89,27,78,1600mb,volatile-lru,6,yes,no,no,308,46,no,36,yes
yes,no,122,119mb,no,yes,no,,,,,,,,,,yes,8,78,12,90,1900mb,noeviction,6,no,no,no,409,99,yes,35,no
yes,everysec,86,189mb,yes,yes,yes,,,,,,,,,,yes,24,92,23,86,1700mb,noeviction,4,yes,no,yes,588,30,no,10,yes
yes,everysec,78,192mb,no,no,yes,,,,,,,,,,,,,,,2500mb,allkeys-random,3,no,yes,yes,465,250,yes,11,no
yes,always,194,159mb,yes,yes,yes,,,,,,,,,,,,,,,2800mb,volatile-lfu,3,no,yes,no,461,48,yes,18,no
yes,always,73,182mb,no,no,no,,,,,,,,,,,,,,,2700mb,volatile-lfu,3,no,yes,yes,400,98,no,19,no
yes,no,100,184mb,no,no,yes,,,,,,,,,,,,,,,2600mb,volatile-lfu,7,yes,no,no,420,194,yes,37,yes
yes,always,177,219mb,no,yes,yes,,,,,,,,,,yes,1,88,27,82,2400mb,volatile-ttl,7,no,yes,no,631,135,no,12,yes
yes,always,163,223mb,no,yes,yes,,,,,,,,,,,,,,,2300mb,volatile-lfu,3,yes,no,yes,310,243,yes,35,no
yes,everysec,162,80mb,no,no,yes,,,,,,,,,,yes,29,80,19,88,2200mb,allkeys-lru,7,yes,yes,yes,581,251,yes,28,no
yes,always,185,179mb,yes,no,no,,,,,,,,,,yes,18,83,28,83,2600mb,allkeys-lru,6,yes,no,yes,706,193,yes,32,yes
yes,everysec,100,86mb,no,no,yes,,,,,,,,,,yes,13,80,8,70,2600mb,allkeys-random,5,yes,yes,no,726,44,no,38,no
yes,everysec,88,239mb,no,no,no,,,,,,,,,,yes,4,86,22,88,1200mb,noeviction,6,yes,yes,yes,358,174,yes,26,yes
yes,always,60,100mb,yes,yes,no,,,,,,,,,,,,,,,2500mb,volatile-ttl,7,no,yes,no,579,204,yes,40,yes
yes,always,74,55mb,yes,no,no,,,,,,,,,,yes,27,70,24,79,1300mb,allkeys-random,7,no,yes,no,697,182,no,1,yes
yes,always,94,242mb,yes,yes,yes,,,,,,,,,,yes,1,71,1,89,1300mb,volatile-random,5,yes,yes,no,567,89,yes,17,no
yes,always,71,102mb,yes,yes,no,,,,,,,,,,,,,,,2700mb,volatile-ttl,5,no,yes,yes,488,23,no,10,no
yes,everysec,51,256mb,yes,no,yes,,,,,,,,,,,,,,,1000mb,allkeys-lfu,3,no,yes,no,640,60,no,28,yes
yes,always,102,251mb,no,yes,yes,,,,,,,,,,yes,5,83,14,90,1800mb,volatile-random,5,no,yes,yes,690,143,yes,23,no
yes,no,146,93mb,no,yes,yes,,,,,,,,,,yes,16,97,11,86,2300mb,volatile-lru,4,no,yes,yes,742,248,yes,19,yes
yes,everysec,117,41mb,yes,yes,no,,,,,,,,,,,,,,,1200mb,volatile-ttl,6,yes,no,yes,628,76,yes,39,no
yes,always,104,134mb,yes,yes,no,,,,,,,,,,yes,6,76,2,83,2600mb,noeviction,7,no,no,yes,512,70,yes,7,no
yes,always,122,80mb,yes,no,no,,,,,,,,,,,,,,,1900mb,noeviction,4,yes,yes,no,456,211,no,38,yes
yes,no,125,77mb,no,yes,no,,,,,,,,,,yes,22,99,28,70,1900mb,volatile-lfu,5,no,yes,no,648,178,yes,39,yes
yes,always,71,158mb,no,yes,no,,,,,,,,,,yes,19,79,25,89,1200mb,volatile-lru,6,no,yes,no,518,183,no,25,yes
yes,everysec,172,124mb,yes,yes,yes,,,,,,,,,,,,,,,2500mb,noeviction,7,no,yes,yes,670,194,yes,29,yes
yes,everysec,119,67mb,yes,no,no,,,,,,,,,,,,,,,2800mb,allkeys-lfu,6,yes,no,no,708,250,no,8,no
